scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost
27;expensive SMR+CCS;2633;424.9352593;0.518936027;0.014461126;0.205900622;1.604701761;4.745732463;0.002282304;0.012706089;0.858824565;0.185807593;1.451043866;8.688353451;0.001155089;0.003005515;0.000741399;80.34738785;11894.64524;2.20E+06
27;High electrolysis buildout;2560;425.4808336;0.547077552;0.046166154;0.205094878;1.781822078;5.108748904;0.002390691;0.013436006;1.023977196;0.199995363;1.504564921;9.389167679;0.002530993;0.003173953;0.000741399;80.45086592;11911.58292;2.20E+06
27;Extreme electrolysis buildout;2625;420.473343;0.485126925;0.097810955;0.206551098;1.650691522;4.803754902;0.002296979;0.012719541;0.873072532;0.144576125;1.452083091;8.793255245;0.001162433;0.006465441;0.000741399;80.32180506;11871.48248;2.21E+06
27;2030 res target 60;2740;443.9050944;0.778714036;0.030237844;0.206673543;1.76178702;5.730925522;0.005831173;0.01334615;1.358617815;0.138152921;2.306482348;10.22025169;0.001370794;0.006795907;0.000741399;80.78300787;11873.82506;2.21E+06
27;2030 res target 80;2942;499.3487583;0.977508591;0.0170298;0.206691465;1.592699371;5.74624337;0.0098868;0.008162559;1.751760659;0.146283076;2.927946994;10.57036379;0.005017954;0.008695557;0.000741399;81.21018982;11860.70074;2.21E+06
27;Expensive RES;2789;477.7632203;0.517440923;0.041448207;0.206406989;1.814866127;4.8075476;0.002029157;0.011620767;0.747464808;0.167884573;1.513826713;8.440986676;0.000476827;0.005914668;0.000741399;80.18228872;11893.22554;2.24E+06
27;Cheap RES;2252;344.1043499;0.856645264;0.043644939;0.205979942;1.910486818;5.90003966;0.003084802;0.015926013;1.345449826;0.168208602;1.673466883;10.25319959;0.003260249;0.003746986;0.000741399;80.84619004;11931.49615;2.13E+06
27;low demand growth;2805;449.7537677;1.430146434;0.026207895;0.175266857;1.610647032;4.621719346;0.001991534;0.012042449;1.094907086;0.116966744;1.560190833;7.897699196;0.001009384;0.012782902;0.000741399;78.63816605;11866.21445;2.07E+06
27;high demand growth;1577;254.2126001;3.412008854;0.066533853;0.269562313;1.980542413;9.161824684;0.006292554;0.025232418;6.221182329;0.208296206;2.776013084;16.61488995;0.003143992;0.026702904;0.000741399;87.04765112;11961.00001;2.47E+06
27;expensive electrolysis;2678;442.9873292;0.600427701;0.083712552;0.206614407;1.652161376;5.058102821;0.002215287;0.013788761;0.936918041;0.158371849;1.597738555;9.067689049;0.000519577;0.003268306;0.000741399;80.42526051;11883.46427;2.22E+06
