scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost;waterbed_sealed;CumulativeEmissions_PS;CumulativeEmissions_IND;CumulativeEmissions_H2S
28;2030 res target 60;2799;444.6350500288169;0.7965483468495415;0.02153566239012879;0.20619433159197986;2.2027004397505467;5.640284234107868;0.017398474741054857;0.01273536003436037;1.313300777554741;0.1478658666897857;2.2685493237389807;10.277264608602259;0.019102972820599615;0.006489571631995522;0.000741399;80.74533278336223;11874.975397432729;2.207482357840633e6;2040.0;2044.650063775683;9338.06378193134;492.2615517257032
28;2030 res target 80;2944;465.20608174620025;0.9799215043445694;0.023441298656342726;0.20661965800695833;1.723096925041531;6.364266947148238;0.0116424625507714;0.009709971480739028;1.7995950271305254;0.1390571355486569;3.0360903017889966;10.252628538509535;0.012307303185480902;0.004945120494777708;0.000741399;81.22995045354915;11860.529077679616;2.21386867145475e6;2040.0;2021.7706113353318;9301.08076735803;537.677698986252
28;Expensive RES;2843;472.1287880631002;0.5194510404924105;0.09388763264607525;0.20665359025196697;1.6166849504576821;4.881333035439917;0.017337263067735673;0.014849212830015874;0.8202155459265668;0.14163455927264065;1.5224893303365479;9.073426724772283;0.008609645814341553;0.0034951740593504948;0.000741399;80.32235607393564;11876.302716930506;2.2370248652466745e6;2040.0;2061.877520895532;9376.82890325156;437.5962927834145
28;Cheap RES;2258;350.67061180455016;0.9422247356865517;0.029098320088259026;0.20571788152121787;1.2673067168815648;6.3198938787993875;0.022615887321818944;0.019846936606361516;1.6164312983501006;0.1820456137421417;1.964118690980974;11.322847847272532;0.01140501324096825;0.043704501506275896;0.000741399;80.9703733303717;11927.042961187624;2.134816805228774e6;2040.0;2083.3803952897642;9315.971254957603;527.6913109402564
28;low demand growth;2795;427.1887055630002;1.5103925220807404;0.014244975031967864;0.17532148963020283;1.6168264080376136;4.8646384296069325;0.018839267620383546;0.015625807899422178;1.1249842064219575;0.12597121632538064;1.6223184010092504;8.602707775270698;0.011356539255020715;0.004021359382953765;0.000741399;78.74305480600444;11862.092811779485;2.0759885831176902e6;2040.0;1864.3688366298466;9525.394133338224;472.3298418114248
28;high demand growth;1679;259.6229621759668;3.3605951991581855;0.03566770879893918;0.2693622330423774;2.3587830004954733;8.632939339613973;0.033407873471205045;0.027097298665511835;6.351590251060466;0.2384073337527991;2.7985200442570686;15.744403815520936;0.08272889948500681;0.05967915406689603;0.000741399;87.1027030405224;11960.785135391901;2.473442750137541e6;2040.0;2525.126924863519;8820.190276212023;615.4679343163673
28;expensive electrolysis;2702;437.5724521857002;0.5799936779765574;0.016757424688145135;0.20675437274827357;1.575575668862615;5.307280147893348;0.021706451367575784;0.017533119039519433;1.0594777687371055;0.1913975383251332;1.7160308543123932;9.761873185555537;0.006806097680593416;0.008889441240322711;0.000741399;80.5008228378917;11877.635869346586;2.216227604645697e6;2040.0;2057.126587182424;9359.725961383007;460.783320781159
28;cheap electrolysis;2561;411.1257494935669;0.5156748893514271;0.07591931068509274;0.2067406869597831;2.5400058013365445;5.031414266581091;0.02634462583536521;0.01402972490830315;0.8083111685473562;0.18307363883765185;1.6712109287414616;8.321906814210571;0.019123814070642915;0.007092968423690687;0.000741399;80.3152477695797;11914.964353479992;2.1802158612389965e6;2042.0;1996.6055186874057;8171.562055948981;1335.9432880848926
28;double CNHydrogen target 2030;2682;420.8886019420002;0.525866576512862;0.04720815591860952;0.20635594845102553;1.568161396181846;5.150439788379429;0.018962224254628346;0.16607519108848848;0.9121113789826862;0.17708035001371303;1.6790022939893876;9.351826539935223;0.004104427013898576;0.08537461620125279;0.000741399;80.3886219493405;11887.912798110512;2.2043945011355076e6;2040.0;2066.1040544090392;9367.353598605008;454.4551450964546
28;Low discount rate;1938;298.9783156199835;4.944836294340213;0.03134501769783569;0.20670338276521188;2.0198683232340406;4.699760951898188;0.030843363265627734;0.02267934702923556;2.9730612889363197;0.19065760911846777;2.0243847292589567;6.232025599985217;0.033107732015660696;0.005205647165698975;0.000741399;102.54814582559891;11538.705786741937;2.5766014132331163e6;2041.0;2005.7659136976338;9144.123051323571;388.8168217207373
