Hour;EOM_price;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;PROD_Biomass;PROD_SPP_lignite;PROD_Solar;PROD_ICE;PROD_WindOffshore;PROD_WindOnshore;PROD_Nuclear;PROD_CCGT_old;PROD_CCGT_new;PROD_SPP_coal;PROD_OCGT
5402.0;5.525024954260843;-0.052324955162443884;-0.05979871352435586;-0.06218569932941636;0.0;0.0;3.5839102532189316e-5;0.0;0.04506031778400204;0.035559318359475775;0.0;0.0;0.0;0.0;0.0
5403.0;5.506778520543096;-0.052324955162443884;-0.06368873764179067;-0.06218569932941636;0.0;0.0;3.7947065589632895e-5;0.0;0.04978219258597832;0.03682700974342846;0.0;0.0;0.0;0.0;0.0
5404.0;5.494292300981272;-0.052324955162443884;-0.06570621375188652;-0.06218569932941636;0.0;0.0;3.583910230214229e-5;0.0;0.05301242916978348;0.038067392642383215;0.0;0.0;0.0;0.0;0.0
5405.0;5.48696568337472;-0.052324955162443884;-0.06543121576289611;-0.06218569932941636;0.0;0.0;3.373066839153349e-5;0.0;0.055832712130540675;0.03870626877893246;0.0;0.0;0.0;0.0;0.0
5406.0;5.486272225109283;-0.052324955162443884;-0.05994277243044797;-0.06218569932941636;0.0;0.0;3.373066839154503e-5;0.0;0.0575515536597711;0.040438205329382124;0.0;0.0;0.0;0.0;0.0
5407.0;5.503343611088402;-0.052324955162443884;-0.042345007909100646;-0.06218569932941636;0.0;0.0;5.05960455311654e-5;0.0;0.05767009436993006;0.04267966203481186;0.0;0.0;0.0;0.0;0.0
5408.0;5.524849883284723;-0.052324955162443884;-0.020806306018073047;-0.06218569932941636;0.0;0.0;0.0009360282565244788;0.0;0.05793681119971043;0.04414569965212007;0.0;0.0;0.0;0.0;0.0
5409.0;5.5249501998865895;-0.052324955162443884;-0.01207895077246291;-0.06218569932941636;0.0;0.0;0.005038530922010156;0.0;0.05791211511525488;0.04493405433839972;0.0;0.0;0.0;0.0;0.0
5410.0;5.502007478143735;-0.052324955162443884;-0.013044714591960618;-0.06218569932941636;0.0;0.0;0.014698175120143764;0.0;0.05807016957490435;0.044706243423734554;0.0;0.0;0.0;0.0;0.0
5411.0;5.465449285002766;-0.052324955162443884;-0.019152231220679578;-0.06218569932941636;0.0;0.0;0.027638134888489794;0.0;0.05802077755984827;0.044530893940969735;0.0;0.0;0.0;0.0;0.0
5412.0;5.438106313778755;-0.052324955162443884;-0.022608811548460474;-0.06218569932941636;0.0;0.0;0.03832867484383794;0.0;0.05700824158203615;0.04497789164324576;0.0;0.0;0.0;0.0;0.0
5413.0;5.4147132549055215;-0.052324955162443884;-0.0287562294676964;-0.06218569932941636;0.0;0.0;0.04507904154040462;0.0;0.05660322728351807;0.04551687608459695;0.0;0.0;0.0;0.0;0.0
5414.0;5.41792657075559;-0.052324955162443884;-0.030853962823948453;-0.06218569932941636;0.0;0.0;0.043744568751962865;0.0;0.0548102978108662;0.04602208411023303;0.0;0.0;0.0;0.0;0.0
